,x,y,z,User,Model,Device,gt
75757,0.766135,-0.9193620000000001,9.959755,a,samsungold,samsungold_1,1
124359,-5.1510773,-0.75042725,6.159439,b,nexus4,nexus4_2,2
18271,-6.0142345,0.095768064,7.690175999999999,a,s3,s3_1,4
40271,-6.2247925,0.05607605,7.952057000000001,a,nexus4,nexus4_1,4
7355,-3.370994,1.072589,7.048442,b,samsungold,samsungold_2,3
201,-3.0634918,-0.024414063,6.074936,b,nexus4,nexus4_2,3
135947,-4.943985,2.0060425,8.627884,h,nexus4,nexus4_2,4
99665,7.5081229999999985,-0.153227,6.741988,f,samsungold,samsungold_2,1
122377,9.178757000000001,0.34454346,3.6683807,b,nexus4,nexus4_2,1
46362,-2.5701754,-0.4345476,10.259153999999999,f,s3mini,s3mini_2,3
113464,7.775527999999999,-0.8444519,6.003525,f,nexus4,nexus4_2,1
42508,-1.9103699,0.113204956,8.297211,g,nexus4,nexus4_1,2
110556,-1.1520538,0.8658447,14.896591,b,nexus4,nexus4_2,5
42660,5.085284,0.92895025,7.958326299999999,i,s3,s3_2,1
8960,-4.3861775000000005,0.21068975,7.422025,e,s3,s3_2,2
25961,-1.3982137,-0.5650316,10.141838,d,s3,s3_2,0
36620,-7.222167999999999,0.8273163,6.567871,a,nexus4,nexus4_1,3
1956,-0.38307226,0.5650316,6.8282633000000015,e,s3,s3_1,2
41275,-7.876602,4.201935,14.18486,b,nexus4,nexus4_2,3
90547,-5.9925385,-0.13748169,9.078964,a,nexus4,nexus4_2,2
15627,3.9552212,0.5746084,8.916007,d,s3,s3_1,1
113026,-5.90889,0.37349546,7.7093296,a,s3,s3_1,4
103375,-2.882619,-1.1300632,9.356541,c,s3,s3_1,4
111276,-5.9010620000000005,0.26911926,7.8984985,a,nexus4,nexus4_1,4
86469,-0.67614746,-1.5304413000000001,6.445282,b,nexus4,nexus4_1,5
42003,3.2094273999999996,1.6017209,8.911219000000003,g,s3mini,s3mini_1,1
24573,-3.06454,-4.137129,6.12908,h,samsungold,samsungold_2,3
105404,-4.0222587999999995,-1.2162545,12.421119000000001,i,s3,s3_1,3
23040,-1.9105729999999999,1.0654198000000001,5.5329999999999995,d,s3mini,s3mini_1,3
105018,-0.8619126,-0.62249243,7.0102224,e,s3,s3_2,2
101893,-2.27928,1.8674773,9.11712,g,s3,s3_2,4
92179,-2.5953147,-0.6703765,9.14585,c,s3,s3_2,4
52840,-3.0238767,-0.01436521,8.990228,e,s3mini,s3mini_1,4
8506,0.89303726,0.8463503000000001,9.461885,c,s3mini,s3mini_1,1
86822,-5.777115,0.41357422,8.47316,e,nexus4,nexus4_2,3
21704,-0.8497466999999999,0.47427368,11.553360000000001,i,nexus4,nexus4_2,0
112095,-4.022949,0.44050598,11.329803,b,nexus4,nexus4_1,3
328,-3.524221,-1.9919509999999998,8.887166,f,samsungold,samsungold_1,3
44402,7.814577000000001,-0.766135,6.741988,f,samsungold,samsungold_1,1
31190,-2.2888567,-1.0821792,5.0086699999999995,e,s3,s3_2,5
94152,-3.8002167,1.3347778000000001,6.8711699999999984,b,nexus4,nexus4_2,3
11925,-1.1010437,1.4259796,9.196991,f,nexus4,nexus4_1,5
83727,1.5447388000000002,0.64878845,10.144378999999999,h,nexus4,nexus4_1,1
73461,-6.2247925,-0.22480774,7.7449645999999985,a,nexus4,nexus4_1,4
